"Country","EPI"
"Afghanistan",43.6
"Angola",30.5
"Albania",47.1
"United Arab Emirates",52.4
"Argentina",41.1
"Armenia",48.3
"Antigua and Barbuda",52.4
"Australia",60.1
"Austria",66.5
"Azerbaijan",38.6
"Burundi",30.5
"Belgium",58.2
"Benin",29.6
"Burkina Faso",35.5
"Bangladesh",23.1
"Bulgaria",51.9
"Bahrain",42
"Bahamas",56.2
"Bosnia and Herzegovina",39.4
"Belarus",48.5
"Belize",50
"Bolivia",40.1
"Brazil",43.6
"Barbados",53.2
"Brunei Darussalam",45.7
"Bhutan",42.5
"Botswana",54
"Central African Republic",44.9
"Canada",50
"Switzerland",65.9
"Chile",46.7
"China",28.4
"Cote d'Ivoire",32.8
"Cameroon",30.2
"Dem. Rep. Congo",36.9
"Republic of Congo",40.1
"Colombia",42.4
"Comoros",42.5
"Cabo Verde",41.9
"Costa Rica",46.3
"Cuba",47.5
"Cyprus",58
"Czech Republic",59.9
"Germany",62.4
"Djibouti",47.5
"Dominica",51.2
"Denmark",77.9
"Dominican Republic",42.2
"Algeria",29.6
"Ecuador",46.5
"Egypt",35.5
"Eritrea",31.7
"Spain",56.6
"Estonia",61.4
"Ethiopia",31.8
"Finland",76.5
"Fiji",31.3
"France",62.5
"Micronesia",37.4
"Gabon",49.7
"United Kingdom",77.7
"Georgia",39.1
"Ghana",27.7
"Guinea",31.6
"Gambia",36.4
"Guinea-Bissau",40.2
"Equatorial Guinea",44.8
"Greece",56.2
"Grenada",47.9
"Guatemala",28
"Guyana",38.5
"Honduras",36.5
"Croatia",60.2
"Haiti",26.1
"Hungary",55.1
"Indonesia",28.2
"India",18.9
"Ireland",57.4
"Iran",34.5
"Iraq",27.8
"Iceland",62.8
"Israel",48.2
"Italy",57.7
"Jamaica",45.6
"Jordan",43.6
"Japan",57.2
"Kazakhstan",40.9
"Kenya",30.8
"Kyrgyzstan",35.7
"Cambodia",30.1
"Kiribati",49
"Republic of Korea",46.9
"Kuwait",42.4
"Laos",30.7
"Lebanon",32.2
"Liberia",24.9
"Saint Lucia",49.4
"Sri Lanka",34.7
"Lesotho",32.3
"Lithuania",55.9
"Luxembourg",72.3
"Latvia",61.1
"Morocco",28.4
"Moldova",42.7
"Madagascar",28
"Maldives",37.4
"Mexico",45.5
"Marshall Islands",36.2
"North Macedonia",54.3
"Mali",28.5
"Malta",75.2
"Myanmar",19.4
"Montenegro",46.9
"Mongolia",29.6
"Mozambique",31.7
"Mauritania",28.1
"Mauritius",44.8
"Malawi",40.6
"Malaysia",35
"Namibia",50.9
"Niger",37.7
"Nigeria",28.3
"Nicaragua",37.7
"Netherlands",62.6
"Norway",59.3
"Nepal",28.3
"New Zealand",56.7
"Oman",30.7
"Pakistan",24.6
"Panama",50.5
"Peru",39.8
"Philippines",28.9
"Papua New Guinea",24.8
"Poland",50.6
"Portugal",50.4
"Paraguay",40.9
"Qatar",33
"Romania",56
"Russia",37.5
"Rwanda",32.8
"Saudi Arabia",37.9
"Sudan",27.6
"Senegal",33.9
"Singapore",50.9
"Solomon Islands",35
"Sierra Leone",32.7
"El Salvador",40.8
"Serbia",43.9
"Sao Tome and Principe",52.9
"Suriname",45.9
"Slovakia",60
"Slovenia",67.3
"Sweden",72.7
"Eswatini",44.9
"Seychelles",55.6
"Chad",28.1
"Togo",34
"Thailand",38.1
"Tajikistan",37.1
"Turkmenistan",37
"Timor-Leste",35.1
"Tonga",43.8
"Trinidad and Tobago",47.8
"Tunisia",40.7
"Turkey",26.3
"Taiwan",45.3
"Tanzania",34.2
"Uganda",35.8
"Ukraine",49.6
"Uruguay",37.4
"United States",51.1
"Uzbekistan",38.2
"Saint Vincent and the Grenadines",53.2
"Venezuela",46.4
"Viet Nam",20.1
"Vanuatu",36.9
"Samoa",36.4
"South Africa",37.2
"Zambia",38.4
"Zimbabwe",46.2
